Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777164450,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777164451,2,,Aggregated,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,2,1,110,113.75434999354184,106.28300000098534,121.22569998609833,524.5
1777164452,6,,Aggregated,0.000000,0.000000,17,17,110,110,120,120,120,120,120,120,120,6,1,16,44.56943333207164,3.1458000012207776,121.22569998609833,772.1666666666666
1777164453,8,,Aggregated,2.000000,1.000000,6,17,41,47,110,120,120,120,120,120,120,13,2,6,28.93336153535459,3.1458000012207776,121.22569998609833,781.6923076923077
1777164454,10,,Aggregated,2.500000,0.500000,4,17,26,41,110,120,120,120,120,120,120,20,4,4,21.922874996380415,3.108799981418997,121.22569998609833,747.4
1777164455,10,,Aggregated,2.500000,0.500000,4,16,18,25,47,110,120,120,120,120,120,26,5,4,19.059684612259915,3.108799981418997,121.22569998609833,753.1153846153846
1777164456,10,,Aggregated,4.500000,1.000000,11,23,41,60,120,170,180,180,180,180,180,35,6,11,32.98423999720918,3.108799981418997,182.49790000845678,768.6285714285714
1777164457,10,,Aggregated,5.200000,1.000000,5,18,26,47,120,170,180,180,180,180,180,40,7,5,29.36127249704441,3.108799981418997,182.49790000845678,765.975
1777164458,10,,Aggregated,5.666667,1.000000,5,16,23,26,110,120,180,180,180,180,180,48,8,4,25.095795830566203,2.5582999805919826,182.49790000845678,772.1666666666666
1777164459,10,,Aggregated,5.428571,1.000000,5,16,25,41,120,240,360,390,390,390,390,56,9,4,39.719801782796694,2.4759999942034483,393.1696999934502,776.5892857142857
1777164460,10,,Aggregated,5.750000,1.000000,4,11,18,26,120,180,360,390,390,390,390,63,11,4,35.69412221928822,2.4759999942034483,393.1696999934502,766.2698412698413
1777164461,10,,Aggregated,6.000000,1.000000,4,6,17,25,120,180,360,390,390,390,390,70,13,4,32.45598142592436,2.4759999942034483,393.1696999934502,758.0142857142857
1777164462,10,,Aggregated,6.000000,1.000000,4,16,23,41,120,180,360,390,390,390,390,78,15,4,34.03535640823882,2.4759999942034483,393.1696999934502,753.1153846153846
1777164463,10,,Aggregated,6.600000,1.200000,4,16,23,40,110,170,360,390,390,390,390,86,16,4,32.33974883508825,2.4759999942034483,393.1696999934502,757.7674418604652
1777164464,10,,Aggregated,7.100000,1.400000,4,11,18,36,86,170,360,390,390,390,390,95,18,4,29.622425262105505,2.4759999942034483,393.1696999934502,755.2210526315789
1777164465,10,,Aggregated,7.200000,1.400000,4,5,18,25,72,130,240,360,390,390,390,103,19,4,27.58778155232029,2.4523999891243875,393.1696999934502,758.9417475728155
